読み方	日本語	英語
なかよく	仲良く	harmoniously, amicably
なかなおり	仲直り	reconciliation, making up
なこうど	仲人	go-between, matchmaker
なか	仲	personal relationship
かてい	仮定	assumption, supposition
かなづかい	仮名遣い	kana orthography, use of kana
かな	仮名	kana, Japanese syllabary
かりに	仮に	supposing that, even if
かり	仮	provisional, temporary
いこう	以降	hereafter
いらい	以来	since
いご	以後	from now on, after that
いぜん	以前	before, ago
いか	以下	below
いじょう	以上	not less than, more than
だいきん	代金	charge, fee
だいひょう	代表	representative
だいめいし	代名詞	pronoun
かわるがわる	代わる代わる	by turns, alternately
かわる	代わる	substitute, be substituted for
かわり	代わり	substitution
かえる	代える	substitute, use in place of
ふろく	付録	appendix, supplement
ふきん	付近	neighborhood, environs
ふぞく	付属	attachment, belonging
つけたす	付け足す	add on, append
つけくわえる	付け加える	add
つける	付ける	attach, set, apply
つく	付く	attach itself to, be connected with, come in contact with
つきあう	付き合う	socialize with, see someone
つきあい	付き合い	friendship, association
たほう	他方	other side
たにん	他人	another person, stranger
た	他	others, other things
ほか	他	other
しまう	仕舞う	put away
しくみ	仕組み	construction, arrangement
しかた	仕方	way, method
しごと	仕事	work, job
しあげる	仕上げる	finish, complete
しあげ	仕上げ	completion, finishing
ぶっきょう	仏教	Buddhism
ほとけ	仏	buddha, Buddhist image
こんしゅう	今週	this week
けさ	今朝	this morning
こんげつ	今月	this month
いまさら	今更	now, too late
こんばん	今晩	this evening, tonight
きょう	今日	today
こんにち	今日	today, these days
こんご	今後	after this, in the future
こんど	今度	this time, next time
ことし	今年	this year
こんや	今夜	tonight, this evening
こんかい	今回	this time
いままで	今まで	until now, so far
いまにも	今にも	at any moment
いまに	今に	before long, someday
いまごろ	今ごろ	about this time
いま	今	now
じんるい	人類	mankind, humankind
にんげん	人間	human being, people
ひとちがい	人違い	mistaken identity
ひとどおり	人通り	traffic
ひとごみ	人込み	crowd
じんしゅ	人種	race
じんせい	人生	human life, life
じんぶつ	人物	character, person
にんき	人気	popularity, temperament of the people, business conditions
じんみん	人民	the people, populace
じんけん	人権	human rights
じんかく	人格	character, personality
ひとがら	人柄	character, personality
じんぶんかがく	人文科学	humanities
にんずう	人数	number of people
ひとで	人手	hand, manpower
にんじょう	人情	human feelings, humanity
にんぎょう	人形	doll
ひとさしゆび	人差し指	index finger
じんこう	人工	artificial
じんめい	人名	personal name, name
じんこう	人口	population
ひとまえ	人前	in front of other people
ひとで	人出	turnout, crowd
じんじ	人事	human affairs, personnel affairs
ひとびと	人々	people
ひと	人	person
こうさい	交際	association, friendship
こうつうひ	交通費	traveling expense, transportation cost
こうつうじこ	交通事故	traffic accident
こうつう	交通	traffic, transportation
こうばん	交番	police box
こうしょう	交渉	negotiation, bargaining
こうりゅう	交流	interaction, contact
こうたい	交替	alternation, shift
こうかん	交換	exchange, bartering
こうさてん	交差点	crossing, intersection
こうご	交互	by turns, alternatively
まじわる	交わる	cross
まじわる	交わる	associate with, socialize
かわす	交わす	exchange
まぜる	交ぜる	include
まじる	交じる	be mingled, be mixed
まざる	交ざる	mix, socialize with
なくなる	亡くなる	die, pass away
なくす	亡くす	lose (in death)
いつか	五日	five days, 5th of the month
ごじゅうおん	五十音	Japanese syllabary
いつつ	五つ	five (things)
ご	五	five
たがい	互い	each other
にかい	二階	second floor, upstairs
にりゅう	二流	second-rate
ふつか	二日	two days, 2nd of the month
にどと	二度と	never again
はたち	二十歳	20 years old
はつか	二十日	20 days, 20th of the month
ふたり	二人	two persons
ふたつ	二つ	two (things)
に	二	two
じぎょう	事業	business, achievement
ことがら	事柄	matter, affair
じこ	事故	accident, incident
じたい	事態	situation, state of affairs
じじょう	事情	circumstances, conditions
じじつ	事実	fact, truth
じむしょ	事務所	office, one's place of business
じむしつ	事務室	office
じむいん	事務員	clerk, clerical staff
じむ	事務	office duty, clerical work
じけん	事件	affair, case
こと	事	thing, incident
あらそう	争う	compete, fight
あらそい	争い	conflict, battle
よぼう	予防	prevention, protection
よげん	予言	prediction, forecast
よしゅう	予習	preparation, previewing (a lesson)
よやく	予約	reservation, subscription
よさん	予算	budget
よそう	予想	prospect, expectation
よてい	予定	schedule, plan
よほう	予報	forecast, prediction
よび	予備	reserve, spare
かめ	亀	turtle, tortoise
かんそう	乾燥	drying up, desiccation
かんぱい	乾杯	a toast
かわく	乾く	dry, run dry
かわかす	乾かす	dry
らんぼう	乱暴	violence
みだれる	乱れる	be disordered, be disturbed
みだす	乱す	put into disorder, disrupt
こじき	乞食	beggar
ここのか	九日	nine days, 9th of the month
ここのつ	九つ	nine (things)
きゅう	九	nine
く	九	nine
じょうしゃけん	乗車券	railway ticket, bus ticket
じょうしゃ	乗車	boarding, getting on board
じょうきゃく	乗客	passenger
のる	乗る	ride, take
のりおり	乗り降り	getting on and off
のりおくれる	乗り遅れる	miss
のりこむ	乗り込む	board, march into
のりこす	乗り越す	ride past
のりこし	乗り越し	riding past one's stop
のりこえる	乗り越える	overcome, get over
のりもの	乗り物	vehicle, conveyance
のりかえる	乗り換える	change, transfer
のりかえ	乗り換え	change, transfer
のりだす	乗り出す	lean forward, embark on
とぼしい	乏しい	scarce, short of
ひさしぶり	久しぶり	after a long time
どんぶり	丼	bowl
しゅしょく	主食	staple food
しゅだい	主題	subject, theme
しゅかんてき	主観的	subjective
しゅかん	主観	subjectivity, subject
しゅよう	主要	main, principal
しゅぎ	主義	principle, -ism
しゅやく	主役	leading part, starring role
しゅちょう	主張	insistence, assertion
しゅふ	主婦	housewife
しゅさい	主催	sponsorship, promotion
しゅたい	主体	agent, main constituent
しゅにん	主任	person in charge, head
しゅじん	主人	master, husband
おもに	主に	mainly, mostly
おも	主	main, chief
まるい	丸い	round
まる	丸	circle or sphere, wholeness
ちゅうかん	中間	middle, between
ちゅうと	中途	halfway
なかみ	中身	content, interior
ちゅうけい	中継	relay, broadcasting
ちゅうきゅう	中級	middle-class, intermediate
ちゅうりつ	中立	neutrality
ちゅうりゅう	中流	mid-stream, middle reaches
ちゅうどく	中毒	poisoning
ちゅうし	中止	suspension, stopping
ちゅうじゅん	中旬	middle ten days of a month
ちゅうだん	中断	interruption, discontinuance
なかゆび	中指	middle finger
ちゅうしん	中心	center, middle
ちゅうねん	中年	middle age
ちゅうがくせい	中学生	junior high school student
ちゅうがっこう	中学校	junior high school
ちゅうがく	中学	junior high school
ちゅうおう	中央	center
ちゅうこ	中古	secondhand goods
ちゅうせい	中世	Middle Ages
なか	中	inside, middle
ちゅう	中	middle, medium size
なみき	並木	row of trees, roadside trees
なみ	並み	ordinary, average
ならべる	並べる	line up, display, set up
ならぶ	並ぶ	line up, be parallel
りょうめん	両面	both sides
りょうしん	両親	parents
りょうしゃ	両者	both
りょうりつ	両立	managing two things, having it both ways
りょうがえ	両替	money changing, exchange of money
りょうほう	両方	both
りょうて	両手	both hands
りょうがわ	両側	both sides
おか	丘	hill, slope
せけん	世間	world, the public
せろん	世論	public opinion
よろん	世論	public opinion
せわ	世話	take care of, provide service
せいき	世紀	century
せかい	世界	world
せだい	世代	generation
よのなか	世の中	the world, society
よ	世	world, public,
あたえる	与える	give
ふうん	不運	misfortune, bad luck
ふつう	不通	interruption of service
ふそく	不足	insufficiency, lack
ふしんせつ	不親切	unkind, inattentive
ふきそく	不規則	irregular
ふよう	不要	unnecessary, waste
ふりょう	不良	bad, defective
ふじゆう	不自由	inconvenience, discomfort
ふしぜん	不自然	unnatural, artificial
ふたしか	不確か	unreliable, uncertain
ふけつ	不潔	dirty, filthy
ふまん	不満	dissatisfaction, discontent
ふちゅうい	不注意	carelessness, inattention
ふきょう	不況	depression, slump
ふせい	不正	fraud, impropriety
ふきげん	不機嫌	bad mood, displeasure
ふけいき	不景気	business depression, slump
ふめい	不明	unknown
ふゆかい	不愉快	unpleasant, disagreeable
ふしぎ	不思議	mystery, wonder
ふひつよう	不必要	unnecessary, superfluous
ふとくい	不得意	one's weak point
ふしあわせ	不幸せ	unhappiness, misfortune
ふこう	不幸	unhappiness, misfortune, bereavement
ふびょうどう	不平等	unequal, unfair
ふへい	不平	discontent, dissatisfaction
ふかんぜん	不完全	imperfection, incompleteness
ふあんてい	不安定	instability
ふあん	不安	uneasiness, anxiety
ふざい	不在	absence
ぶきよう	不器用	clumsy, unskillful
ふごうかく	不合格	failure, disqualification
ふかのう	不可能	impossible
ふじゅうぶん	不十分	insufficiency, lack
ふどうさんや	不動産屋	real estate agent, realtor
ふり	不利	disadvantage
ふこうへい	不公平	unfair, unjust
ふべん	不便	inconvenient
げしゃ	下車	get off, stopover
したしらべ	下調べ	preliminary investigation, preparation
したぎ	下着	underwear
げり	下痢	diarrhea
したまち	下町	old part of town
かりゅう	下流	downstream
げすい	下水	sewerage, drainage
したがき	下書き	draft
げじゅん	下旬	end of the month
へた	下手	not good at
げしゅく	下宿	lodging, boarding house
げひん	下品	vulgar, low
おろす	下ろす	bring down, take down, pull down
くだる	下る	go down, go down or away from a central place
おりる	下りる	go down, come down
くだり	下り	downhill, going down
くださる	下さる	give, favor with
さげる	下げる	lower, turn down
さがる	下がる	come down, hang down, fall
した	下	under, below
げ	下	low class, inferiority, below
もと	下	under the supervision
じょうたつ	上達	progress, proficiency
じょうきゅう	上級	higher grade, advanced class
じょうとう	上等	first-class, premium
うわぎ	上着	coat, jacket
じょうりゅう	上流	upstream
じょうしょう	上昇	ascension, rising
じょうじゅん	上旬	beginning of the month
じょうず	上手	good, skilled
じょうひん	上品	elegance, refinement
じょうし	上司	boss
じょうげ	上下	top and bottom
うえした	上下	above and below
のぼる	上る	go up
のぼり	上り	going up, ascent
あげる	上げる	raise, improve
あがる	上がる	go up, rise
あがる	上がる	get nervous, get stage fright
あがる	上がる	be completed
あがる	上がる	eat, drink
うえ	上	up, above
かみ	上	superiors, people in authority
じょう	上	upper, best
さんかくけい	三角形	triangle
さんかく	三角	triangle
さんりゅう	三流	third-rate
みかづき	三日月	new moon, crescent moon
みっか	三日	three days, 3rd of the month
みっつ	三つ	three (things)
さん	三	three
じょうぶ	丈夫	healthy, stout
ばんざい	万歳	Banzai! Hurrah! Long live...!
まんねんひつ	万年筆	fountain pen
まんいち	万一	if by any chance
まん	万	ten thousand
なのか	七日	seven days, 7th of the month
たなばた	七夕	Tanabata Festival, Star Festival
ななつ	七つ	seven (things)
しち	七	seven
なな	七	seven
ていねい	丁寧	polite, courteous, careful
いちめん	一面	whole surface
いちぶぶん	一部分	part, portion
いちぶ	一部	part
いっぺんに	一遍に	all at once
ひととおり	一通り	briefly, once over
ひとこと	一言	single word
いっけん	一見	at a glance
いっぱんに	一般に	generally, in general
いっぱん	一般	general, common
いっち	一致	accord, agreement
いっしょに	一緒に	together, at the same time
いっしょ	一緒	together
いっしゅ	一種	a kind of, a sort of
いっしゅ	一種	a kind of, of sorts
いっしゅん	一瞬	instant, moment
いちばん	一番	most
いっしょうけんめい	一生懸命	for life, with all one's might
いっしょう	一生	a lifetime
いちりゅう	一流	top-ranked, world-class
いちだんと	一段と	greater, further
いっぱい	一杯	full
いちじ	一時	temporarily
いっさくじつ	一昨日	the day before yesterday
おととい	一昨日	day before yesterday
いっさくねん	一昨年	the year before last
おととし	一昨年	the year before last
いったん	一旦	once, for a while
ついたち	一日	1st of the month
いっぽう	一方	one way
いっせいに	一斉に	all together, all at once
いちおう	一応	tentatively
いちどに	一度に	at a time, at once
いったい	一帯	area, vicinity
いっそう	一層	more, even more
いっか	一家	household, family
いってい	一定	constant, standard
いちいん	一員	member
いっしゅう	一周	circle, around
いっこうに	一向に	absolutely, at all
いちどう	一同	everybody, all
ひとくち	一口	mouthful, bite
いっさい	一切	not at all, not one bit
いったい	一体	what on earth, what the…
ひとやすみ	一休み	rest
ひとりひとり	一人一人	each and every person
ひとりで	一人で	by oneself
ひとり	一人	one, one person
ひとまず	一まず	first of all
ひとつ	一つ	one (thing)
いち	一	one
ワンピース	ワンピース	dress
わずか	わずか	few, little
わざわざ	わざわざ	go to a lot of trouble
わさび	わさび	wasabi, Japanese horseradish
わざと	わざと	on purpose
わくわく	わくわく	feel excited
わく	わく	well up
わがまま	わがまま	selfishness, willfulness
ワイン	ワイン	wine
ワイシャツ	ワイシャツ	(business) shirt, (white) shirt
ワープロ	ワープロ	word processor
ロマンチック	ロマンチック	romantic
ロボット	ロボット	robot
ロック	ロック	rock (music)
ロッカー	ロッカー	locker
ろくに	ろくに	hardly, barely
ろうそく	ろうそく	candle
ろーまじ	ローマ字	Roman alphabet
ロープ	ロープ	rope
レントゲン	レントゲン	X-rays
レンズ	レンズ	lens
レモン	レモン	lemon
レポート	レポート	report, paper
レベル	レベル	level
レストラン	レストラン	restaurant
レシート	レシート	receipt
レコード	レコード	record
レクリエーション	レクリエーション	recreation, games
レインコート	レインコート	raincoat
ルール	ルール	rule
りんご	りんご	apple
リボン	リボン	ribbon
リットル	リットル	liter, litre
リズム	リズム	rhythm
リクエスト	リクエスト	request
リード	リード	the lead, take a lead
ランチ	ランチ	lunch
ラッシュアワー	ラッシュアワー	rush hour
ラッシュ	ラッシュ	rush, rush hour
ラジオ	ラジオ	radio
ラケット	ラケット	racket
ラグビー	ラグビー	rugby
ライター	ライター	lighter
ラーメン	ラーメン	ramen (Chinese noodles)
よろしく	よろしく	properly, one's regards
よろしい	よろしい	all right
よる	よる	be caused by
より	より	more, further
よほど	よほど	very, by far
ヨット	ヨット	sailboat, yacht
よそみ	よそ見	look around
よそ	よそ	somewhere else
よす	よす	quit, stop
よこす	よこす	send, hand over
よける	よける	avoid, evade
よける	よける	move out the way
よく	よく	often
よく	よく	well
ようやく	ようやく	at last, at length
ようこそ	ようこそ	welcome
よう	よう	way, like, kind
ゆとり	ゆとり	room, leeway
ゆでる	ゆでる	boil
ゆったり	ゆったり	comfortable
ゆっくり	ゆっくり	slowly
ユーモア	ユーモア	humor
やる	やる	do
やる	やる	give (to an inferior)
やりなおす	やり直す	do over again
やりなおし	やり直し	doing over, redoing
やりかた	やり方	way of doing
やや	やや	little, somewhat
やはり	やはり	as expected, also, still
やっぱり	やっぱり	just as I thought, after all
やっと	やっと	at last, finally
やってくる	やって来る	come, turn up
やっつける	やっつける	beat, let someone have it
やたらに	やたらに	frequently, persistently
やけど	やけど	burn
やかん	やかん	kettle
やかましい	やかましい	noisy, clamorous
やがて	やがて	soon, before long
もろい	もろい	weak, brittle
もらう	もらう	receive
もむ	もむ	rub, massage
もはや	もはや	already, no longer
モデル	モデル	model
もてる	もてる	be popular with the opposite sex
もっとも	もっとも	quite right
もっと	もっと	more
もったいない	もったいない	wasteful, a shame
もちろん	もちろん	of course, no doubt
モダン	モダン	modern
もたらす	もたらす	bring about, lead to
もしも	もしも	if, if ever
もしかすると	もしかすると	possibly, perhaps
もしかしたら	もしかしたら	possibly, perhaps
もし	もし	if, in case of
もうじき	もうじき	soon
もうける	もうける	make a profit
もうけ	もうけ	profits, earnings
もうかる	もうかる	make a profit, be profitable
もう	もう	already, yet
もう	もう	another, again
モーター	モーター	motor, engine
メンバー	メンバー	member
メロディー	メロディー	melody
メモ	メモ	memorandum, memo pad
メニュー	メニュー	menu, bill of fare
めでたい	めでたい	happy, fortunate
めったに	めったに	rarely
めくる	めくる	turn over
めいめい	めいめい	each, individual
メーター	メーター	meter, taximeter
メーカー	メーカー	maker, manufacturer
むなしい	むなしい	empty, vain
むしろ	むしろ	rather
むける	むける	come off, peel
むく	むく	peel, pare
ムード	ムード	mood
みんな	みんな	all, everybody
ミルク	ミルク	milk, baby milk
ミュージック	ミュージック	music
ミスプリント	ミスプリント	misprint, error
ミス	ミス	mistake
みかん	みかん	tangerine, mandarin orange
ミーティング	ミーティング	meeting
マンション	マンション	apartment, apartment block, condominium
まれ	まれ	rarely
まるで	まるで	just like, completely
マラソン	マラソン	marathon
マヨネーズ	マヨネーズ	mayonnaise
ママ	ママ	mommy, mummy
まま	まま	as is, still (in the current state)
マフラー	マフラー	scarf, muffler
まぶた	まぶた	eyelid
まぶしい	まぶしい	dazzling, glaring
まねる	まねる	imitate, mimic
マネー	マネー	money, finance
まね	まね	imitation, mimicry
まないた	まな板	chopping board
マナー	マナー	manners
まとめる	まとめる	gather together, put in order
まとめ	まとめ	summary
まとまる	まとまる	be collected
マッチ	マッチ	match, matchbox
ますます	ますます	increasingly
マスコミ	マスコミ	mass communication
まずい	まずい	bad-tasting, bad
まずい	まずい	bad, no good
まずい	まずい	problematic, troublesome
まして	まして	much more
まし	まし	more, better
まさか	まさか	never in a million years
まぐろ	まぐろ	tuna
まく	まく	scatter, plant
まく	まく	sow, scatter
マイナス	マイナス	minus, below zero
マイク	マイク	mic, microphone
まあまあ	まあまあ	OK, not bad, average
まあまあ	まあまあ	now now
まあ	まあ	well
マーケット	マーケット	market
マーク	マーク	logo
ぼんやり	ぼんやり	vaguely, absent-mindedly
ボリューム	ボリューム	volume
ほほえむ	ほほえむ	smile
ほぼ	ほぼ	almost, nearly
ほほ	ほほ	cheek
ほとんど	ほとんど	almost, hardly
ほどく	ほどく	undo, unfasten
ホテル	ホテル	hotel
ポット	ポット	pot, thermos
ほっと	ほっと	feel relieved
ホット	ホット	hot
ボタン	ボタン	button
ポスト	ポスト	post box, letter box
ポスター	ポスター	poster
ほこり	ほこり	dust
ポケット	ポケット	pocket
ぽかぽか	ぽかぽか	pleasantly warm
ほうれんそう	ほうれん草	spinach
ほうき	ほうき	broom
ボールペン	ボールペン	ballpoint pen
ボール	ボール	ball
ホーム	ホーム	platform
ボーナス	ボーナス	bonus
ボート	ボート	boat
ボーイフレンド	ボーイフレンド	boyfriend
ボーイ	ボーイ	waiter
ペンチ	ペンチ	pliers
ベンチ	ベンチ	bench
ペンキ	ペンキ	paint
ペン	ペン	pen
ベルト	ベルト	belt
ベル	ベル	bell
ヘリコプター	ヘリコプター	helicopter
ぺらぺら	ぺらぺら	fluently
ぺらぺら	ぺらぺら	floppy, flimsy
ベテラン	ベテラン	veteran
ベッド	ベッド	bed
べたべた	べたべた	stick together
へそ	へそ	the navel, the bellybutton
ベスト	ベスト	best
ぺこぺこ	ぺこぺこ	hungry, starving
ぺこぺこ	ぺこぺこ	bow, kowtow
ペース	ペース	pace
ページ	ページ	page
ふわふわ	ふわふわ	soft
プロやきゅう	プロ野球	professional baseball
プログラム	プログラム	program
プロ	プロ	pro, professional
プレゼント	プレゼント	present, gift
ブレーキ	ブレーキ	brake
ぶるぶる	ぶるぶる	shiver
フルーツ	フルーツ	fruit
プリント	プリント	print
ぶらさげる	ぶら下げる	hang, suspend
ぶらさがる	ぶら下がる	hang down, dangle
プラン	プラン	plan
ぶらぶら	ぶらぶら	wander aimlessly, hang about
ふらふら	ふらふら	weak
プラットホーム	プラットホーム	platform
プラスチック	プラスチック	plastic
プラス	プラス	plus, advantage
ブラシ	ブラシ	brush
ブラウス	ブラウス	blouse
フライパン	フライパン	frying pan
プライド	プライド	pride
ふもと	ふもと	foot of the mountain
ぶどう	ぶどう	grapes
ふと	ふと	suddenly, unexpectedly
ぶつぶつ	ぶつぶつ	grumble
ぶつける	ぶつける	bump
ぶつかる	ぶつかる	hit, bump into
ふた	ふた	lid, cover
ふすま	ふすま	sliding door, fusuma
ふざける	ふざける	mess around, fool around
フォーク	フォーク	fork
フィルム	フィルム	film
ファン	ファン	fan, lover
ファッション	ファッション	fashion
ファックス	ファックス	facsimile, fax
プール	プール	pool
ブーム	ブーム	boom
ピンポン	ピンポン	table tennis, ping pong
ヒント	ヒント	hint, clue
ピンク	ピンク	pink
ピン	ピン	hairpin, pin
ビル	ビル	building
ひらりと	ひらりと	lightly, delicately
ひらひら	ひらひら	lightly, floating
ぴょんぴょん	ぴょんぴょん	jump, hop
ぴょんと	ぴょんと	jump
ひょっとしたら	ひょっとしたら	perhaps
ひも	ひも	laces, string, rope
ひび	ひび	crack
ひねる	ひねる	twist, turn
ビニール	ビニール	plastic bag
ひとりでに	ひとりでに	automatically, by oneself
ひどい	ひどい	cruel, severe
ビデオテープ	ビデオテープ	videotape
ビデオ	ビデオ	video
ぴったり	ぴったり	exactly right, perfect
びっしょり	びっしょり	soaked
びっくりする	びっくりする	surprised
ぴたりと	ぴたりと	suddenly
ビタミン	ビタミン	vitamin
ピストル	ピストル	pistol
びしょびしょ	びしょびしょ	soaked
ビジネス	ビジネス	business
ひじ	ひじ	elbow
ビザ	ビザ	visa
ひざ	ひざ	knee
ひげ	ひげ	moustache, beard
ピクニック	ピクニック	picnic
ひく	ひく	run over
ぴかぴか	ぴかぴか	new, shiny
ピアノ	ピアノ	piano
ビール	ビール	beer, lager
ビーチ	ビーチ	beach
ハンバーガー	ハンバーガー	hamburger
ハンドル	ハンドル	steering wheel
ハンドバッグ	ハンドバッグ	handbag
パンティー	パンティー	panties
パンツ	パンツ	pants, trousers
ぱんだ	ぱんだ	panda
パンク	パンク	puncture
ハンカチ	ハンカチ	handkerchief
パン	パン	bread
はれる	はれる	swell, swell up
バレーボール	バレーボール	volleyball
ばらいろ	ばら色	rose color
バランス	バランス	balance
ばらばら	ばらばら	separately
ばら	ばら	rose
はめる	はめる	put on, wear
ハム	ハム	ham
パパ	パパ	dad, father
はねる	はねる	run over, hit
バナナ	バナナ	banana
パトカー	パトカー	police car, patrol car
ぱっと	ぱっと	suddenly, quickly
バット	バット	bat
はっと	はっと	taken aback
バッジ	バッジ	badge
バッグ	バッグ	bag
バック	バック	back
はっきり	はっきり	clearly
バツ	バツ	cross, x-mark
パチンコ	パチンコ	pachinko (vertical pinball)
はだし	はだし	barefoot, bare feet
パターン	パターン	pattern
バター	バター	butter
パソコン	パソコン	personal computer
ばすてい	バス停	bus stop
パスポート	パスポート	passport
バスケットボール	バスケットボール	basketball
バス	バス	bus
パジャマ	パジャマ	pajamas
はしご	はしご	ladder
はげる	はげる	come off, peel off
バケツ	バケツ	bucket
はかり	はかり	scales
ばからしい	ばからしい	stupid, useless
ばかばかしい	ばかばかしい	stupid, absurd
はえ	はえ	fly
ばいきん	ばい菌	bacterium, germ
パイロット	パイロット	pilot
パイプ	パイプ	pipe
ぱいなっぷる	ぱいなっぷる	pineapple
バイト	バイト	part-time job
バイク	バイク	motorbike, motor cycle
ハイキング	ハイキング	hiking
バイオリン	バイオリン	violin
ハードウェア	ハードウェア	hardware
ハード	ハード	hard
パーティー	パーティー	party
パーセント	パーセント	percent
バーゲン	バーゲン	bargain sale
のんびり	のんびり	take it easy
のんき	のんき	carefree, easy-going
のろのろ	のろのろ	slowly, easy
のろい	のろい	slow, sluggish
のどか	のどか	tranquil, peaceful
ノック	ノック	knock
のぞく	のぞく	look, peep
ノーベルしょう	ノーベル賞	Nobel Prize
ノート	ノート	note book, laptop
ネットワーク	ネットワーク	network
ネックレス	ネックレス	necklace
ねずみ	ねずみ	rat, mouse
ネクタイ	ネクタイ	tie, necktie
ねぎ	ねぎ	Welsh onion, green onion
ぬるぬる	ぬるぬる	slimy
ぬるい	ぬるい	tepid, lukewarm
にんじん	にんじん	carrot
にわかに	にわかに	rapidly
にらむ	にらむ	glare, stare
ニュース	ニュース	news
にやにや	にやにや	grin to oneself
にっこり	にっこり	smiling, grinning
にこやか	にこやか	smiling, beaming
にこにこ	にこにこ	smile
ナンバー	ナンバー	number
なるほど	なるほど	I see, really
なるべく	なるべく	as...as possible, if possible
なる	なる	become
なる	なる	become
なめる	なめる	lick, lap
なぜか	なぜか	for some reason
なぜ	なぜ	why, for what reason
なさる	なさる	do
なかなか	なかなか	not at all, hardly
なかなか	なかなか	rather, pretty
なお	なお	still, in addition
ナイロン	ナイロン	nylon
ナイフ	ナイフ	knife
トンネル	トンネル	tunnel
どんなに	どんなに	how much
どんどん	どんどん	knock
どんどん	どんどん	steadily
とんとん	とんとん	tapping
とんでもない	とんでもない	unthinkable, outrageous
とんかつ	とんかつ	pork cutlet
ドレス	ドレス	dress
トレーニング	トレーニング	training, workout
どれ	どれ	what, which
ドル	ドル	dollar
トランプ	トランプ	(a pack of) cards, (playing) cards
ドラマ	ドラマ	drama, theater, soap opera
トラック	トラック	truck, lorry
ドライブ	ドライブ	drive
ともかく	ともかく	at least, at any rate
トマト	トマト	tomato
とにかく	とにかく	in any case, anyway
どなた	どなた	who
とても	とても	very
トップ	トップ	top
どっと	どっと	burst (out laughing)
どっち	どっち	which
とっさに	とっさに	at once
とっくに	とっくに	long ago
どちら	どちら	which
とじる	とじる	bind, file
ところ	ところ	place
どこ	どこ	where
どく	どく	move out of the way
どきどき	どきどき	feel excited, feel nervous
どきっと	どきっと	surprised, shocked
とがる	とがる	be sharp
どうやら	どうやら	seems, looks like
とうもろこし	とうもろこし	corn, maize
どうも	どうも	for some reason, somehow
どうにか	どうにか	somehow
とうとう	とうとう	at last, after all
どうぞ	どうぞ	please
どうせ	どうせ	anyway
どうしても	どうしても	by any means, really
どうして	どうして	why
どうか	どうか	please
どう	どう	how, what
トイレットペーパー	トイレットペーパー	toilet paper
トイレ	トイレ	toilet
ドア	ドア	door
トースト	トースト	toast
テンポ	テンポ	tempo, pace
てんぷら	てんぷら	tempura, Japanese deep-fried breaded food
テント	テント	tent
テレビ	テレビ	television
デモ	デモ	demonstration
デパート	デパート	department store, department
てのひら	てのひら	palm
テニス	テニス	tennis
テスト	テスト	test, exam
デザイン	デザイン	design
デザート	デザート	dessert
でこぼこ	でこぼこ	unevenness, bumpiness
テキスト	テキスト	textbook, text, text file
ティッシュ	ティッシュ	tissue
ディスコ	ディスコ	disco
テーマ	テーマ	the theme, the subject
テープレコーダー	テープレコーダー	tape recorder, cassette recorder
テーブル	テーブル	table
テープ	テープ	tape, cassette
デート	デート	date
データ	データ	data
つるつる	つるつる	smooth, slippery
ツル	ツル	crane, stork
つもり	つもり	intention, purpose
つまり	つまり	in short, basically
つまらない	つまらない	boring, dull
つまむ	つまむ	munch on
つまずく	つまずく	stumble, trip
つぼみ	つぼみ	bud
つぶる	つぶる	close
つぶやく	つぶやく	mutter, murmur
つばめ	つばめ	swallow
つなぐ	つなぐ	connect, join
つながる	つながる	connect, join
つながり	つながり	connection, relation
つける	つける	switch on
つくづく	つくづく	truly, deeply
つぐ	つぐ	pour, pour into
つく	つく	be on, switched on
つかむ	つかむ	grip, grab
つかまる	つかまる	grip, grab
ついに	ついに	at last, finally
ついで	ついで	on the way
つい	つい	inadvertently, accidentally
ちり	ちり	dust
ちょっと	ちょっと	just a moment, just a little, easily
チョコレート	チョコレート	chocolate
ちょうど	ちょうど	just, as if
チョーク	チョーク	chalk
チャンネル	チャンネル	channel
ちゃんと	ちゃんと	regularly, properly
チャンス	チャンス	chance
ちっとも	ちっとも	nothing at all
チケット	チケット	ticket
チキン	チキン	chicken, fried chicken
ちぎれる	ちぎれる	be torn off, come off
ちぎる	ちぎる	tear, tear off
チェンジ	チェンジ	change, exchange
チーム	チーム	team
チーズ	チーズ	cheese
ダンス	ダンス	dance, dancing
たんす	たんす	chest of drawers, wardrobe
タレント	タレント	celebrity, talent
だるい	だるい	be dull, feel dull, weary
だらしない	だらしない	slovenly, untidy
ため	ため	sake, purpose
ダム	ダム	dam
たまらない	たまらない	can't stand, can't put up with
たまに	たまに	occasionally, by chance
たまたま	たまたま	by chance, accidentally
だぶだぶ	だぶだぶ	baggy, too big
たばこや	たばこ屋	cigarette shop, tobacco store
たばこ	たばこ	tobacco, cigarette
たとえ	たとえ	even if, granting that
たっぷり	たっぷり	fully, amply
たった	たった	only, merely
たちまち	たちまち	in a moment, instantly
ただ	ただ	free
ただ	ただ	simply, merely
たこ	たこ	octopus
タクシー	タクシー	taxi, cab
たくさん	たくさん	in large quantity, plenty
タオル	タオル	towel
ダウン	ダウン	down, malfunction
ダイヤモンド	ダイヤモンド	diamond
タイヤ	タイヤ	tire
タイプライター	タイプライター	typewriter
タイプ	タイプ	type
そんなに	そんなに	that, so
ぞんざい	ぞんざい	rough, rude
